iter	Passed	Remaining
0	10	1040
1	20	1019
2	30	995
3	41	1004
4	53	1023
5	64	1015
6	76	1015
7	87	1008
8	98	996
9	109	986
10	120	978
11	137	1005
12	151	1012
13	166	1022
14	182	1033
15	196	1029
16	208	1020
17	221	1009
18	234	998
19	248	993
20	262	986
21	276	979
22	294	984
23	313	993
24	328	986
25	342	974
26	357	965
27	372	957
28	389	952
29	403	940
30	416	926
31	432	918
32	446	906
33	460	894
34	475	883
35	489	870
36	503	858
37	517	844
38	530	830
39	543	815
40	556	800
41	568	785
42	580	770
43	594	756
44	606	741
45	618	726
46	631	712
47	643	697
48	656	683
49	670	670
50	683	656
51	695	642
52	708	628
53	720	613
54	732	599
55	744	585
56	756	570
57	768	556
58	780	542
59	793	528
60	804	514
61	817	500
62	830	487
63	843	474
64	857	461
65	869	447
66	881	434
67	896	421
68	910	408
69	925	396
70	939	383
71	953	370
72	967	357
73	980	344
74	995	331
75	1008	318
76	1020	304
77	1032	291
78	1045	278
79	1058	264
80	1070	251
81	1082	237
82	1095	224
83	1109	211
84	1124	198
85	1138	185
86	1151	172
87	1164	158
88	1178	145
89	1190	132
90	1203	119
91	1216	105
92	1229	92
93	1241	79
94	1254	66
95	1269	52
96	1284	39
97	1299	26
98	1316	13
99	1331	0
